season,section_e,division_e,mean_beneficial_fraction,mean_crop_water_deficit,mean_relative_water_deficit,mean_total_seasonal_biomass_production,mean_seasonal_yield,mean_crop_water_productivity,median_beneficial_fraction,median_crop_water_deficit,median_relative_water_deficit,median_total_seasonal_biomass_production,median_seasonal_yield,median_crop_water_productivity,min_beneficial_fraction,min_crop_water_deficit,min_relative_water_deficit,min_total_seasonal_biomass_production,min_seasonal_yield,min_crop_water_productivity,max_beneficial_fraction,max_crop_water_deficit,max_relative_water_deficit,max_total_seasonal_biomass_production,max_seasonal_yield,max_crop_water_productivity,std_beneficial_fraction,std_crop_water_deficit,std_relative_water_deficit,std_total_seasonal_biomass_production,std_seasonal_yield,std_crop_water_productivity,q25_beneficial_fraction,q25_crop_water_deficit,q25_relative_water_deficit,q25_total_seasonal_biomass_production,q25_seasonal_yield,q25_crop_water_productivity,q25_quantile,q75_beneficial_fraction,q75_crop_water_deficit,q75_relative_water_deficit,q75_total_seasonal_biomass_production,q75_seasonal_yield,q75_crop_water_productivity,q75_quantile,section_a,division_a
2022-2023,Umm_Juha,Turabi,0.79,0.3,0.7,5.25,1.33,0.19,0.81,0.29,0.71,5.01,1.27,0.19,0.0,0.03,0.28,0.22,0.06,0.08,0.9,0.72,0.97,13.75,3.48,0.28,0.08,0.11,0.11,2.2,0.56,0.03,0.77,0.23,0.64,3.66,0.93,0.17,0.25,0.84,0.36,0.77,6.61,1.67,0.21,0.75,ام جها,الترابي
2022-2023,Turabi_Al_Riyasa,Turabi,0.79,0.34,0.66,5.79,1.46,0.19,0.8,0.34,0.66,5.76,1.46,0.19,0.0,0.05,0.23,0.01,0.0,0.0,0.9,0.77,0.95,13.01,3.29,0.27,0.07,0.09,0.09,1.92,0.48,0.03,0.77,0.28,0.61,4.52,1.14,0.17,0.25,0.83,0.39,0.72,7.01,1.77,0.21,0.75,الترابي الرئاسة,الترابي
2022-2023,Wad_Bala,Turabi,0.79,0.37,0.63,6.18,1.56,0.19,0.81,0.36,0.64,6.12,1.55,0.19,0.0,0.05,0.34,0.14,0.04,0.03,0.89,0.66,0.95,12.79,3.23,0.25,0.07,0.1,0.1,2.12,0.54,0.02,0.77,0.29,0.56,4.65,1.18,0.17,0.25,0.84,0.44,0.71,7.73,1.95,0.2,0.75,ود بلا,الترابي
2022-2023,Fargin,Kab_Elgidad,0.8,0.29,0.71,5.04,1.27,0.19,0.81,0.29,0.71,4.97,1.26,0.19,0.0,0.02,0.46,0.25,0.06,0.1,0.89,0.54,0.98,10.12,2.56,0.28,0.07,0.08,0.08,1.74,0.44,0.03,0.78,0.23,0.66,3.93,0.99,0.18,0.25,0.83,0.34,0.77,6.2,1.57,0.21,0.75,فارقين,كاب الدجاج
2022-2023,Abd_ElMagid_Al_Riyasa,Abd_ElMagid,0.78,0.36,0.64,6.12,1.55,0.19,0.79,0.33,0.67,5.85,1.48,0.19,0.51,0.1,0.29,1.05,0.27,0.12,0.89,0.71,0.9,12.35,3.12,0.23,0.06,0.14,0.14,2.59,0.65,0.02,0.76,0.26,0.56,4.21,1.06,0.18,0.25,0.83,0.44,0.74,7.79,1.97,0.2,0.75,عبد المجيد الرئاسة,عبد المجيد
2022-2023,Fawar,Tabat,0.76,0.32,0.68,5.26,1.33,0.18,0.78,0.32,0.68,5.12,1.3,0.18,0.0,0.04,0.44,0.26,0.07,0.07,0.87,0.56,0.96,11.25,2.84,0.24,0.09,0.1,0.1,2.03,0.51,0.02,0.74,0.25,0.62,3.75,0.95,0.17,0.25,0.81,0.38,0.75,6.55,1.66,0.2,0.75,فوار,طابت
2022-2023,Abd_Elmagid,Surhan,0.8,0.37,0.63,6.07,1.53,0.18,0.81,0.35,0.65,5.9,1.49,0.18,0.31,0.04,0.35,0.42,0.11,0.11,0.88,0.65,0.96,11.82,2.99,0.24,0.06,0.11,0.11,2.26,0.57,0.02,0.78,0.29,0.56,4.38,1.11,0.17,0.25,0.83,0.44,0.71,7.66,1.94,0.19,0.75,عبد المجيد,سورهان
2022-2023,Surhan_Al_Riyasa,Surhan,0.77,0.38,0.62,6.38,1.61,0.18,0.79,0.38,0.62,6.48,1.64,0.19,0.0,0.05,0.32,0.06,0.01,0.01,0.86,0.68,0.95,12.1,3.06,0.25,0.08,0.1,0.1,1.98,0.5,0.02,0.75,0.32,0.55,5.05,1.28,0.17,0.25,0.81,0.45,0.68,7.74,1.96,0.19,0.75,سورهان الرئاسة,سورهان
2022-2023,Istarhna,Al_Gourashi,0.77,0.4,0.6,6.54,1.65,0.18,0.78,0.39,0.61,6.36,1.61,0.19,0.26,0.07,0.15,0.71,0.18,0.1,0.88,0.85,0.93,15.52,3.92,0.23,0.07,0.13,0.13,2.41,0.61,0.02,0.74,0.31,0.52,4.8,1.21,0.17,0.25,0.82,0.48,0.69,8.09,2.05,0.19,0.75,استرحنا,القرشي
2022-2023,Al_Gourashi_Al_Riyasa,Al_Gourashi,0.78,0.38,0.62,6.09,1.54,0.18,0.79,0.37,0.63,6.1,1.54,0.19,0.11,0.06,0.32,0.46,0.12,0.09,0.88,0.68,0.94,11.53,2.91,0.22,0.07,0.1,0.1,1.84,0.47,0.02,0.75,0.31,0.55,4.87,1.23,0.17,0.25,0.82,0.45,0.69,7.39,1.87,0.19,0.75,القرشي الرئاسة,القرشي
2022-2023,El_Rukun,Tabat,0.78,0.4,0.6,6.35,1.61,0.18,0.78,0.39,0.61,6.41,1.62,0.18,0.2,0.08,0.32,0.77,0.19,0.1,0.87,0.68,0.92,11.85,2.99,0.22,0.06,0.1,0.1,1.87,0.47,0.02,0.75,0.33,0.54,5.07,1.28,0.17,0.25,0.81,0.46,0.67,7.59,1.92,0.19,0.75,الركن,طابت
2022-2023,Wad_El_Saiyid,Elmessellamia,0.77,0.39,0.61,6.11,1.55,0.18,0.78,0.39,0.61,6.18,1.56,0.18,0.0,0.05,0.35,0.23,0.06,0.03,0.88,0.65,0.95,11.27,2.85,0.21,0.07,0.1,0.1,1.78,0.45,0.02,0.75,0.33,0.55,4.97,1.26,0.17,0.25,0.81,0.45,0.67,7.31,1.85,0.19,0.75,ود السيد,المسلمية
2022-2023,Al_Firijab,Surhan,0.78,0.4,0.6,6.4,1.62,0.18,0.78,0.38,0.62,6.31,1.6,0.19,0.48,0.1,0.32,1.21,0.31,0.13,0.86,0.68,0.9,11.62,2.94,0.21,0.05,0.1,0.1,1.79,0.45,0.01,0.75,0.34,0.55,5.18,1.31,0.17,0.25,0.8,0.45,0.66,7.42,1.88,0.19,0.75,الفريجاب,سورهان
2022-2023,Tannub,Tabat,0.78,0.41,0.59,6.52,1.65,0.18,0.79,0.41,0.59,6.57,1.66,0.18,0.18,0.08,0.28,0.46,0.12,0.06,0.86,0.72,0.92,11.75,2.97,0.23,0.05,0.09,0.09,1.56,0.39,0.01,0.76,0.35,0.54,5.57,1.41,0.18,0.25,0.81,0.46,0.65,7.46,1.88,0.19,0.75,طنوب,طابت
2022-2023,Tabat_Al_Riyasa,Tabat,0.78,0.43,0.57,6.85,1.73,0.18,0.79,0.43,0.57,6.9,1.74,0.18,0.07,0.08,0.26,0.5,0.13,0.08,0.87,0.74,0.92,12.13,3.07,0.22,0.06,0.09,0.09,1.57,0.4,0.01,0.76,0.37,0.52,5.83,1.47,0.18,0.25,0.81,0.48,0.63,7.91,2.0,0.19,0.75,طابت الرئاسة,طابت
2022-2023,Saad_Allah,Elmessellamia,0.77,0.39,0.61,6.0,1.52,0.17,0.78,0.39,0.61,6.01,1.52,0.18,0.02,0.06,0.27,0.34,0.09,0.07,0.87,0.73,0.94,11.59,2.93,0.21,0.07,0.1,0.1,1.66,0.42,0.01,0.75,0.33,0.55,5.04,1.27,0.17,0.25,0.81,0.45,0.67,7.04,1.78,0.18,0.75,سعد الله,المسلمية
2022-2023,Wad_ElBurr,Wad_ElBurr,0.79,0.43,0.57,6.91,1.75,0.18,0.8,0.44,0.56,7.0,1.77,0.18,0.32,0.08,0.24,0.85,0.21,0.11,0.86,0.76,0.92,12.25,3.1,0.21,0.05,0.08,0.08,1.46,0.37,0.01,0.77,0.39,0.52,6.21,1.57,0.18,0.25,0.81,0.48,0.61,7.7,1.95,0.19,0.75,ود البر,ود النو
2022-2023,Wad_Hilal,Wad_ElBurr,0.76,0.37,0.63,5.72,1.45,0.17,0.78,0.38,0.62,5.89,1.49,0.18,0.29,0.07,0.4,0.74,0.19,0.11,0.85,0.6,0.93,9.74,2.46,0.21,0.06,0.08,0.08,1.54,0.39,0.01,0.74,0.32,0.57,4.74,1.2,0.17,0.25,0.8,0.43,0.68,6.75,1.71,0.18,0.75,ود هلال,ود النو
2022-2023,Elmessellamia_Al_Riyasa,Elmessellamia,0.79,0.44,0.56,6.88,1.74,0.18,0.8,0.44,0.56,6.98,1.76,0.18,0.41,0.11,0.37,1.11,0.28,0.12,0.87,0.63,0.89,10.42,2.63,0.2,0.04,0.07,0.07,1.29,0.33,0.01,0.77,0.4,0.51,6.18,1.56,0.18,0.25,0.81,0.49,0.6,7.74,1.96,0.19,0.75,المسلمية الرئاسة,المسلمية
2022-2023,Beika,Elmessellamia,0.78,0.41,0.59,6.29,1.59,0.18,0.79,0.41,0.59,6.31,1.6,0.18,0.0,0.06,0.27,0.14,0.04,0.03,0.87,0.73,0.94,11.57,2.92,0.21,0.06,0.09,0.09,1.57,0.4,0.01,0.77,0.36,0.54,5.43,1.37,0.17,0.25,0.81,0.46,0.64,7.24,1.83,0.18,0.75,بيكا,المسلمية
2022-2023,Bortobeil,Elbasatna,0.78,0.41,0.59,6.24,1.58,0.18,0.79,0.41,0.59,6.36,1.61,0.18,0.02,0.06,0.3,0.38,0.1,0.06,0.86,0.7,0.94,10.73,2.71,0.21,0.06,0.09,0.09,1.46,0.37,0.01,0.76,0.36,0.54,5.39,1.36,0.17,0.25,0.81,0.46,0.64,7.12,1.8,0.18,0.75,بورتوبيل,البساتنا
2022-2023,Barakat_Al_Riyasa,Elbasatna,0.78,0.42,0.58,6.33,1.6,0.17,0.8,0.43,0.57,6.5,1.64,0.18,0.0,0.06,0.29,0.22,0.06,0.04,0.87,0.71,0.94,11.25,2.84,0.2,0.07,0.09,0.09,1.61,0.41,0.01,0.77,0.37,0.52,5.49,1.39,0.17,0.25,0.82,0.48,0.63,7.33,1.85,0.18,0.75,بركات الرئاسة,البساتنا
2022-2023,Wad_Figda,Hag Abdalla and North West Sennar,0.78,0.44,0.56,6.55,1.66,0.17,0.79,0.45,0.55,6.65,1.68,0.17,0.18,0.08,0.29,0.75,0.19,0.1,0.86,0.71,0.92,11.04,2.79,0.2,0.06,0.1,0.1,1.58,0.4,0.01,0.76,0.38,0.49,5.61,1.42,0.17,0.25,0.81,0.51,0.62,7.58,1.92,0.18,0.75,ود فجدا,حاج عبد الله وشمال شرق سنار
2022-2023,Al_Toman,Wad Elnaw,0.78,0.42,0.58,6.17,1.56,0.17,0.79,0.41,0.59,6.15,1.55,0.17,0.0,0.05,0.3,0.29,0.07,0.06,0.87,0.7,0.95,11.09,2.8,0.21,0.06,0.1,0.1,1.7,0.43,0.01,0.75,0.34,0.51,5.05,1.28,0.17,0.25,0.82,0.49,0.66,7.31,1.85,0.18,0.75,التومان,ود النو
2022-2023,Hag_Abdalla,Hag Abdalla and North West Sennar,0.78,0.43,0.57,6.28,1.59,0.17,0.79,0.43,0.57,6.5,1.64,0.17,0.19,0.08,0.32,0.81,0.2,0.11,0.88,0.68,0.92,10.42,2.63,0.21,0.06,0.1,0.1,1.62,0.41,0.01,0.76,0.37,0.51,5.39,1.36,0.17,0.25,0.82,0.49,0.63,7.39,1.87,0.18,0.75,حاج عبد الله,حاج عبد الله وشمال شرق سنار
2022-2023,Wad_Elnaw_Al_Riyasa,Wad Elnaw,0.79,0.45,0.55,6.68,1.69,0.17,0.8,0.45,0.55,6.7,1.69,0.17,0.0,0.03,0.21,0.0,0.0,0.0,0.89,0.79,0.97,12.48,3.15,0.21,0.05,0.1,0.1,1.72,0.43,0.01,0.78,0.39,0.48,5.63,1.42,0.17,0.25,0.83,0.52,0.61,7.77,1.97,0.18,0.75,ود النو الرئاسة,ود النو
2022-2023,Hadad,Hag Abdalla and North West Sennar,0.79,0.45,0.55,6.91,1.75,0.18,0.79,0.45,0.55,6.99,1.77,0.18,0.29,0.1,0.27,0.94,0.24,0.11,0.87,0.73,0.9,12.31,3.11,0.21,0.05,0.09,0.09,1.59,0.4,0.01,0.77,0.4,0.49,6.01,1.52,0.18,0.25,0.81,0.51,0.6,7.91,2.0,0.18,0.75,حداد,حاج عبد الله وشمال شرق سنار
2022-2023,Gundal,Hag Abdalla and North West Sennar,0.78,0.44,0.56,6.77,1.71,0.18,0.79,0.45,0.55,6.9,1.74,0.18,0.39,0.13,0.32,1.63,0.41,0.13,0.86,0.68,0.87,10.61,2.68,0.21,0.05,0.09,0.09,1.6,0.4,0.01,0.76,0.39,0.48,5.87,1.48,0.17,0.25,0.81,0.52,0.61,7.93,2.0,0.18,0.75,قوندال,حاج عبد الله وشمال شرق سنار
2022-2023,Fahal,El_Mukhtar,0.74,0.4,0.6,5.77,1.46,0.17,0.76,0.39,0.61,5.85,1.48,0.17,0.13,0.09,0.29,0.29,0.07,0.03,0.84,0.71,0.91,11.12,2.81,0.2,0.07,0.11,0.11,1.85,0.47,0.02,0.71,0.32,0.52,4.46,1.13,0.16,0.25,0.79,0.48,0.68,7.05,1.78,0.18,0.75,فحل,المختار
2022-2023,Hamadna_Allah,El_Mukhtar,0.77,0.38,0.62,5.93,1.5,0.18,0.78,0.38,0.62,5.99,1.51,0.18,0.14,0.06,0.28,0.54,0.14,0.1,0.87,0.72,0.94,12.11,3.06,0.21,0.06,0.09,0.09,1.63,0.41,0.01,0.75,0.32,0.56,4.82,1.22,0.17,0.25,0.81,0.44,0.68,7.05,1.78,0.19,0.75,حمدنا الله,المختار
2022-2023,Um_Degina,El_Mukhtar,0.77,0.37,0.63,5.91,1.49,0.18,0.78,0.36,0.64,5.78,1.46,0.18,0.43,0.12,0.28,1.51,0.38,0.12,0.85,0.72,0.88,12.44,3.14,0.21,0.05,0.1,0.1,1.74,0.44,0.01,0.74,0.31,0.56,4.89,1.24,0.17,0.25,0.81,0.44,0.69,6.93,1.75,0.19,0.75,ام دقينة,المختار
2022-2023,Shaliee_Al_Riyasa,Shaliee,0.78,0.41,0.59,6.4,1.62,0.18,0.79,0.41,0.59,6.54,1.65,0.18,0.03,0.07,0.3,0.0,0.0,0.0,0.89,0.7,0.93,10.73,2.71,0.22,0.06,0.09,0.09,1.51,0.38,0.02,0.77,0.35,0.54,5.59,1.41,0.17,0.25,0.82,0.46,0.65,7.46,1.89,0.19,0.75,شالي الرئاسة,شالي
2022-2023,Wad_Elzain,Shaliee,0.78,0.38,0.62,5.87,1.48,0.17,0.79,0.38,0.62,5.87,1.48,0.18,0.0,0.05,0.29,0.25,0.06,0.05,0.87,0.71,0.95,11.72,2.96,0.22,0.06,0.1,0.1,1.81,0.46,0.02,0.76,0.32,0.56,4.56,1.15,0.16,0.25,0.81,0.44,0.68,7.05,1.78,0.18,0.75,ود الزين,شالي
2022-2023,Shandi,Shaliee,0.76,0.34,0.66,5.5,1.39,0.18,0.77,0.33,0.67,5.55,1.4,0.18,0.52,0.13,0.48,1.69,0.43,0.13,0.86,0.52,0.87,8.95,2.26,0.23,0.05,0.07,0.07,1.31,0.33,0.02,0.74,0.29,0.62,4.62,1.17,0.17,0.25,0.8,0.38,0.71,6.48,1.64,0.2,0.75,شندي,شالي
2022-2023,Elhurga_Nuraldin,Elhurga/Nuraldin,0.71,0.15,0.85,1.65,0.42,0.13,0.7,0.14,0.86,1.52,0.38,0.13,0.59,0.1,0.78,0.98,0.25,0.11,0.82,0.22,0.9,2.57,0.65,0.14,0.08,0.05,0.05,0.6,0.15,0.01,0.65,0.11,0.83,1.21,0.31,0.12,0.25,0.76,0.17,0.89,1.96,0.5,0.13,0.75,الحورقا نور الدين,الحورقا نور الدين
2022-2023,El_Sharqi_Al_Riyasa,Al Genied,0.77,0.33,0.67,5.36,1.36,0.17,0.8,0.34,0.66,5.38,1.36,0.18,0.02,0.03,0.42,0.18,0.05,0.05,0.89,0.58,0.97,10.23,2.59,0.23,0.1,0.12,0.12,2.24,0.57,0.02,0.75,0.25,0.57,3.61,0.91,0.16,0.25,0.83,0.43,0.75,7.25,1.83,0.19,0.75,الشارف الرئاسة,الجنيد
2022-2023,El_Ariga,EL_Mansi,0.76,0.38,0.62,6.18,1.56,0.18,0.77,0.38,0.62,6.17,1.56,0.18,0.28,0.1,0.38,1.2,0.3,0.12,0.87,0.62,0.9,11.06,2.79,0.21,0.06,0.09,0.09,1.73,0.44,0.01,0.73,0.33,0.56,4.98,1.26,0.17,0.25,0.8,0.44,0.67,7.34,1.86,0.19,0.75,العريقة,المنسي
2022-2023,Shakir,EL_Mansi,0.76,0.36,0.64,6.05,1.53,0.18,0.77,0.36,0.64,6.05,1.53,0.19,0.03,0.05,0.3,0.31,0.08,0.06,0.86,0.7,0.95,11.96,3.02,0.24,0.08,0.1,0.1,1.99,0.5,0.02,0.74,0.29,0.57,4.69,1.18,0.18,0.25,0.8,0.43,0.71,7.46,1.89,0.2,0.75,شاكر,المنسي
2022-2023,EL_Nala,El_Tahameed,0.78,0.35,0.65,6.48,1.64,0.2,0.79,0.36,0.64,6.55,1.66,0.2,0.0,0.05,0.38,0.08,0.02,0.02,0.88,0.62,0.95,11.71,2.96,0.26,0.07,0.09,0.09,1.98,0.5,0.02,0.76,0.29,0.58,5.09,1.29,0.19,0.25,0.82,0.42,0.71,7.93,2.0,0.21,0.75,النالا,التحاميد
2022-2023,EL_Mansi_Al_Riyasa,EL_Mansi,0.77,0.39,0.61,6.61,1.67,0.19,0.78,0.39,0.61,6.6,1.67,0.19,0.0,0.04,0.35,0.24,0.06,0.03,0.87,0.65,0.96,11.62,2.94,0.23,0.07,0.1,0.1,1.84,0.47,0.02,0.75,0.33,0.54,5.42,1.37,0.18,0.25,0.81,0.46,0.67,7.88,1.99,0.2,0.75,المنسي الرئاسة,المنسي
2022-2023,El_Tahameed_Al_Riyasa,El_Tahameed,0.79,0.38,0.62,6.65,1.68,0.19,0.8,0.38,0.62,6.72,1.7,0.2,0.13,0.06,0.39,0.52,0.13,0.1,0.86,0.61,0.94,11.15,2.82,0.23,0.05,0.08,0.08,1.66,0.42,0.01,0.77,0.32,0.57,5.54,1.4,0.18,0.25,0.82,0.43,0.68,7.82,1.98,0.2,0.75,التحاميد الرئاسة,التحاميد
2022-2023,Tku,El_Tahameed,0.78,0.35,0.65,5.96,1.51,0.19,0.79,0.35,0.65,5.97,1.51,0.19,0.19,0.03,0.3,0.46,0.12,0.11,0.88,0.7,0.97,12.8,3.24,0.24,0.06,0.09,0.09,1.78,0.45,0.01,0.76,0.29,0.59,4.88,1.23,0.18,0.25,0.81,0.41,0.71,7.12,1.8,0.2,0.75,توك,التحاميد
2022-2023,Al_Tarfa,Elfakhakhir,0.77,0.39,0.61,6.78,1.71,0.19,0.78,0.39,0.61,6.78,1.71,0.19,0.12,0.07,0.27,0.64,0.16,0.05,0.88,0.73,0.93,13.49,3.41,0.23,0.05,0.11,0.11,2.09,0.53,0.01,0.75,0.32,0.54,5.37,1.36,0.18,0.25,0.8,0.46,0.68,8.15,2.06,0.2,0.75,الطرفا,الفخاخير
2022-2023,Al_Taayif,Elfakhakhir,0.77,0.4,0.6,6.36,1.61,0.18,0.78,0.39,0.61,6.36,1.61,0.18,0.06,0.06,0.3,0.31,0.08,0.04,0.87,0.7,0.94,11.74,2.97,0.22,0.07,0.1,0.1,1.88,0.48,0.02,0.75,0.33,0.53,5.18,1.31,0.17,0.25,0.81,0.47,0.67,7.59,1.92,0.19,0.75,الطايف,الفخاخير
2022-2023,Al_Krimit,Elfakhakhir,0.78,0.4,0.6,6.39,1.62,0.18,0.79,0.39,0.61,6.5,1.64,0.18,0.0,0.07,0.32,0.0,0.0,0.0,0.87,0.68,0.93,10.64,2.69,0.22,0.06,0.08,0.08,1.49,0.38,0.02,0.76,0.35,0.56,5.47,1.38,0.17,0.25,0.81,0.44,0.65,7.29,1.84,0.19,0.75,الكريميت,الفخاخير
2022-2023,Hegeliga,Elhafair,0.77,0.41,0.59,6.42,1.62,0.18,0.77,0.39,0.61,6.19,1.56,0.18,0.51,0.12,0.25,1.66,0.42,0.1,0.86,0.75,0.88,12.86,3.25,0.21,0.05,0.11,0.11,1.74,0.44,0.02,0.75,0.33,0.53,5.27,1.33,0.18,0.25,0.8,0.47,0.67,7.41,1.87,0.19,0.75,هيجليجا,الحفاير
2022-2023,Elfakhakhir_Al_Riyasa,Elfakhakhir,0.76,0.38,0.62,6.31,1.59,0.18,0.77,0.37,0.63,6.18,1.56,0.19,0.0,0.06,0.21,0.37,0.09,0.07,0.87,0.79,0.94,13.85,3.5,0.22,0.07,0.12,0.12,2.05,0.52,0.02,0.74,0.31,0.56,5.07,1.28,0.18,0.25,0.8,0.44,0.69,7.39,1.87,0.19,0.75,الفخاخير الرئاسة,الفخاخير
2022-2023,Matouri_Al_Riyasa,Matouri,0.77,0.4,0.6,6.82,1.72,0.19,0.78,0.39,0.61,6.65,1.68,0.19,0.17,0.06,0.23,0.51,0.13,0.1,0.88,0.77,0.94,13.99,3.54,0.23,0.06,0.14,0.14,2.55,0.64,0.02,0.75,0.3,0.5,4.93,1.25,0.18,0.25,0.8,0.5,0.7,8.56,2.16,0.2,0.75,ماطوري الرئاسة,ماطوري
2022-2023,El_Zafir,Elhafair,0.76,0.38,0.62,6.23,1.58,0.18,0.77,0.35,0.65,6.04,1.53,0.19,0.0,0.05,0.18,0.22,0.06,0.05,0.87,0.82,0.95,15.53,3.92,0.23,0.08,0.14,0.14,2.39,0.6,0.02,0.74,0.29,0.56,4.72,1.19,0.18,0.25,0.8,0.44,0.71,7.59,1.92,0.2,0.75,الظافر,الحفاير
2022-2023,Elhafair_Al_Riyasa,Elhafair,0.76,0.29,0.71,5.15,1.3,0.19,0.78,0.29,0.71,5.08,1.29,0.19,0.42,0.07,0.31,1.04,0.26,0.13,0.88,0.69,0.93,12.95,3.27,0.24,0.08,0.12,0.12,2.25,0.57,0.02,0.72,0.2,0.63,3.42,0.86,0.18,0.25,0.81,0.37,0.8,6.59,1.67,0.2,0.75,الخفاير الرئاسة,الحفاير
